CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6(a),6(b),7,8(a),8(b),8(c),time,uri
Southwest Airlines,447,305,0,0,612,"1,364",752,"11,201",0,0,"27,712,179","$371,310","$222,999",$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
United Airlines,165,610,0,134,3,912,912,"13,413","16,892","10,147","10,601,398","$124,410","$559,211","$12,000",2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
US Airways,996,0,69,5,86,"1,156",996,"8,325",0,"2,872","13,334,767","$792,310",$0,$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
AirTran Airways,0,360,0,0,9,369,360,"13,380",0,0,"6,533,019","$80,825",$0,$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
Alaska Airlines,0,147,20,10,92,269,147,"1,424",85,2,"4,590,676",$0,"$126,264",$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
American Airlines,515,671,0,445,46,"1,677","1,631","18,097","1,803",172,"19,890,022","$176,168","$436,629",$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
American Eagle,161,158,3,483,22,827,791,"7,556",0,0,"4,449,341","$39,864","$83,126",$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
Atlantic Southeast,38,343,10,0,2,393,381,"10,215","6,337",837,"3,723,441","$9,652","$268,311",$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
Continental Airlines,61,"1,273",73,121,129,"1,657","1,441","8,628","2,531","1,151","10,157,979","$11,208","$532,014","$17,758",2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
Delta Air Lines,92,926,9,2,7,"1,036","1,018","30,608","68,871","11,730","27,524,156","$37,493","$843,719",$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
ExpressJet,163,702,19,0,35,919,872,"7,699",0,0,"4,367,314","$24,850","$288,315","$6,309",2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
Frontier Airlines,14,213,6,88,9,330,23,"1,297",0,0,"3,045,475",$297,"$7,564",$512,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
Hawaiian Airlines,3,0,0,0,0,3,3,171,0,0,"2,266,585","$2,760",$0,"$1,200",2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
JetBlue Airways,8,0,0,0,0,8,8,16,0,0,"7,015,965","$9,600",$0,"$3,930",2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
Mesa Airlines,253,52,43,4,35,387,268,"2,953",763,880,"2,097,955","$93,305","$6,015",$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
SkyWest Airlines,77,358,8,6,33,482,442,"12,506","8,920","2,641","6,624,658","$16,706","$191,803","$1,200",2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
Southwest Airlines,524,320,0,0,739,"1,583",844,"14,335",0,0,"28,539,135","$275,991","$163,491",$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
