station_name,station_link,type,bus_number
Udomsuk - Sukhumvit Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udomsuk%20-%20Sukhumvit%20Intersection,outbound,46
"BITEC, Bang Na, Entrance 1 and 2",http://www.transitbangkok.com/stations/Bangkok%20Bus/BITEC%2C%20Bang%20Na%2C%20Entrance%201%20and%202,outbound,46
Ramkhamhaeng University 2,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ramkhamhaeng%20University%202,outbound,46
Klong Toei,http://www.transitbangkok.com/stations/Mrt/Klong%20Toei,inbound,47
Lumphini,http://www.transitbangkok.com/stations/Mrt/Lumphini,inbound,47
Si Lom,http://www.transitbangkok.com/stations/Mrt/Si%20Lom,inbound,47
Chulalongkorn Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital,inbound,47
Sam Yan,http://www.transitbangkok.com/stations/Mrt/Sam%20Yan,inbound,47
Chulalongkorn University (Phaya Thai Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,inbound,47
National Stadium,http://www.transitbangkok.com/stations/BTS/National%20Stadium,inbound,47
Wat Chaimongkol,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Chaimongkol,inbound,47
Klang Hospital Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Klang%20Hospital%20Intersection,inbound,47
Wat Saket,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Saket,inbound,47
Thai Airways (Lan Luang Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Thai%20Airways%20%28Lan%20Luang%20Road%29,inbound,47
Wat Ratchanatdaram (Ratchadamnoen Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Ratchanatdaram%20%28Ratchadamnoen%20Road%29,inbound,47
Democracy Monument,http://www.transitbangkok.com/stations/Bangkok%20Bus/Democracy%20Monument,inbound,47
Khok Wua,http://www.transitbangkok.com/stations/Bangkok%20Bus/Khok%20Wua,inbound,47
Sanam Luang,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sanam%20Luang,inbound,47
Grand Palace (Maharat Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Grand%20Palace%20%28Maharat%20Road%29,inbound,47
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,inbound,47
