connecting_line,station_link,station_name,station_thai_name
http://www.transitbangkok.com/lines/bangkok-bus-line/45,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/46,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/48,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/116,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/132,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/507,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/508,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/511,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/513,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/544,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/545,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/552,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Chak,Bang Chak,บางจาก
http://www.transitbangkok.com/lines/bangkok-bus-line/1,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/16,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/35,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/36,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/45,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/75,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/93,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/162,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/187,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,Sheraton Royal Orchid,โรงแรมรอยัลออร์คิดเชอราตัน
http://www.transitbangkok.com/lines/bangkok-bus-line/14,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/15,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/50,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/74,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/76,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/77,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/164,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/504,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/505,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/514,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/547,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital%2C%20Faculty%20of%20Medicine,"Chulalongkorn Hospital, Faculty of Medicine",คณะแพทย์ศาสตร์จุฬา
http://www.transitbangkok.com/lines/bangkok-bus-line/8,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/27,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/44,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/92,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/96,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/122,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/137,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/145,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/182,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/206,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/502,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/517,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/528,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/545,http://www.transitbangkok.com/stations/Bangkok%20Bus/Lat%20Phrao,Lat Phrao,ลาดพร้าว
http://www.transitbangkok.com/lines/bangkok-bus-line/11,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/23,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/58,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/60,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/72,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/93,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/99,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/113,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/174,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/206,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/512,http://www.transitbangkok.com/stations/Bangkok%20Bus/Union%20Tower,Union Tower,ยูเนียนทาวเวอร์
http://www.transitbangkok.com/lines/bangkok-bus-line/16,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/21,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/25,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/29,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/34,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/36,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/40,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/47,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/50,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/93,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/113,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/141,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/159,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/163,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/172,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/177,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/187,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/501,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/529,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
http://www.transitbangkok.com/lines/bangkok-bus-line/542,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,Chulalongkorn University (Phaya Thai Road),มหาวิทยาลัยจุฬาลงกรณ์ (พญาไท)
